Date,Open,High,Low,Close,Adj Close,Volume
1991-03-15,6.125,6.1875,6.0625,6.15625,5.440135955810547,290400
1991-03-18,6.15625,6.1875,6.0625,6.125,5.412520408630371,1019600
1991-03-19,6.0625,6.34375,6.03125,6.28125,5.550595283508301,889200
1991-03-20,6.21875,6.28125,6.09375,6.25,5.522979259490967,581200
1991-03-21,6.21875,6.34375,6.21875,6.34375,5.605823516845703,472400
1991-03-22,6.34375,6.34375,6.1875,6.28125,5.550595283508301,227600
1991-03-25,6.25,6.28125,6.25,6.28125,5.550595283508301,178800
1991-03-26,6.25,6.34375,6.1875,6.28125,5.550595283508301,427200
1991-03-27,6.25,6.28125,6.1875,6.25,5.522979259490967,312000
1991-03-28,6.25,6.25,6.21875,6.25,5.522979259490967,342800
1991-04-01,6.25,6.25,5.96875,6.09375,5.384904861450195,284000
1991-04-02,6.03125,6.0625,6.0,6.0625,5.3572916984558105,206400
1991-04-03,6.03125,6.15625,6.03125,6.0625,5.3572916984558105,114400
1991-04-04,6.09375,6.1875,6.0625,6.09375,5.384904861450195,115200
1991-04-05,6.0625,6.1875,6.0625,6.1875,5.46774959564209,204800
1991-04-08,6.21875,6.28125,6.21875,6.28125,5.550595283508301,183600
1991-04-09,6.25,6.25,6.1875,6.1875,5.478652477264404,173200
1991-04-10,6.15625,6.21875,6.15625,6.1875,5.478652477264404,508000
1991-04-11,6.21875,6.21875,6.0,6.0,5.312633037567139,664000
1991-04-12,6.03125,6.0625,6.03125,6.03125,5.340303421020508,47600
1991-04-15,6.03125,6.0625,6.03125,6.03125,5.340303421020508,46800
1991-04-16,6.03125,6.0625,6.03125,6.03125,5.340303421020508,234800
1991-04-17,6.03125,6.09375,6.0,6.09375,5.395642280578613,788800
1991-04-18,6.0625,6.125,6.0625,6.09375,5.395642280578613,385200
1991-04-19,6.0625,6.0625,5.875,5.90625,5.229622840881348,257200
1991-04-22,5.90625,5.90625,5.4375,5.5,4.869913578033447,390000
1991-04-23,5.53125,5.5625,5.34375,5.4375,4.814573287963867,465600
1991-04-24,5.4375,5.4375,5.34375,5.375,4.759232997894287,420400
1991-04-25,5.375,5.6875,5.375,5.6875,5.035932540893555,487600
1991-04-26,5.6875,5.6875,5.59375,5.59375,4.952922821044922,132400
1991-04-29,5.59375,5.59375,5.5,5.53125,4.897583961486816,582400
1991-04-30,5.5,5.59375,5.46875,5.59375,4.952922821044922,375600
1991-05-01,5.5625,5.59375,5.5625,5.5625,4.925252437591553,269200
1991-05-02,5.5625,5.59375,5.5625,5.59375,4.952922821044922,225200
1991-05-03,5.5625,5.8125,5.5625,5.8125,5.146613121032715,532400
1991-05-06,5.78125,5.8125,5.75,5.78125,5.11894416809082,153200
1991-05-07,5.75,5.78125,5.71875,5.75,5.091273307800293,27200
1991-05-08,5.71875,5.71875,5.6875,5.71875,5.06360387802124,54800
1991-05-09,5.75,5.90625,5.75,5.90625,5.229622840881348,372800
1991-05-10,5.90625,5.9375,5.84375,5.875,5.20195198059082,304000
1991-05-13,5.90625,5.9375,5.875,5.90625,5.229622840881348,212800
1991-05-14,5.875,5.90625,5.84375,5.84375,5.174282073974609,129600
1991-05-15,5.875,5.875,5.71875,5.71875,5.06360387802124,41200
1991-05-16,5.71875,5.75,5.71875,5.71875,5.06360387802124,20000
1991-05-17,5.6875,5.75,5.6875,5.71875,5.06360387802124,135200
1991-05-20,5.6875,5.71875,5.6875,5.6875,5.035932540893555,105600
1991-05-21,5.71875,5.71875,5.5625,5.59375,4.952922821044922,118400
1991-05-22,5.5625,5.625,5.5625,5.5625,4.925252437591553,86000
1991-05-23,5.5625,5.6875,5.5625,5.6875,5.035932540893555,83600
1991-05-24,5.65625,5.6875,5.65625,5.6875,5.035932540893555,53200
1991-05-28,5.71875,5.75,5.71875,5.75,5.091273307800293,43200
1991-05-29,5.59375,5.625,5.53125,5.5625,4.925252437591553,462400
1991-05-30,5.5625,5.5625,5.46875,5.5,4.869913578033447,199600
1991-05-31,5.5625,5.75,5.53125,5.6875,5.035932540893555,186000
1991-06-03,5.65625,5.6875,5.625,5.65625,5.008264064788818,128400
1991-06-04,5.65625,5.78125,5.65625,5.71875,5.06360387802124,454800
1991-06-05,5.71875,5.71875,5.65625,5.65625,5.008264064788818,417200
1991-06-06,5.65625,5.75,5.65625,5.75,5.091273307800293,298400
1991-06-07,5.75,5.75,5.625,5.625,4.980592727661133,246000
1991-06-10,5.6875,5.6875,5.625,5.625,4.980592727661133,36000
1991-06-11,5.625,5.65625,5.5,5.53125,4.897583961486816,181600
1991-06-12,5.53125,5.53125,5.46875,5.5,4.869913578033447,104800
1991-06-13,5.5,5.5,5.46875,5.5,4.869913578033447,175200
1991-06-14,5.5,5.59375,5.5,5.59375,4.952922821044922,219600
